Validator,PT_VERSION,2.5.0
Validator,ROCBLAS_VERSION,4.2.0-54f305c1-dirty
Validator,HIPBLASLT_VERSION,1000-e6da924d
Validator,ROCM_VERSION,6.2.0.0-66-98a50c5
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
GemmTunableOp_Half_TN,tn_1280_1_8192,Default,0.0188546
GemmTunableOp_Half_TN,tn_8192_1024_1024,Gemm_Rocblas_621282132,0.042521
GemmTunableOp_Half_TN,tn_1280_120_8192,Gemm_Rocblas_621282190,0.0272451
GemmTunableOp_Half_TN,tn_1280_32_8192,Gemm_Rocblas_621285083,0.019147
GemmTunableOp_Half_TN,tn_8192_216_1024,Gemm_Rocblas_621282234,0.021984
GemmTunableOp_Half_TN,tn_1280_152_8192,Gemm_Rocblas_621282190,0.0302679
GemmTunableOp_Half_TN,tn_1280_80_8192,Gemm_Hipblaslt_TN_90613,0.0255894
GemmTunableOp_Half_TN,tn_8192_184_1024,Gemm_Rocblas_621282237,0.0215899
GemmTunableOp_Half_TN,tn_16032_16_8192,Gemm_Rocblas_621282225,0.0633246
GemmTunableOp_Half_TN,tn_8192_80_1024,Gemm_Rocblas_621282203,0.0182697
GemmTunableOp_Half_TN,tn_16032_104_8192,Gemm_Hipblaslt_TN_90748,0.103313
GemmTunableOp_Half_TN,tn_1280_8192_8192,Gemm_Rocblas_621282421,0.277075
GemmTunableOp_Half_TN,tn_16032_192_8192,Gemm_Hipblaslt_TN_90373,0.149746
GemmTunableOp_Half_TN,tn_16032_8192_8192,Gemm_Hipblaslt_TN_91108,3.4821
GemmTunableOp_Half_TN,tn_1280_56_8192,Gemm_Rocblas_621282173,0.0223153
GemmTunableOp_Half_TN,tn_1280_8_8192,Default,0.0189387
GemmTunableOp_Half_TN,tn_16032_256_8192,Gemm_Hipblaslt_TN_25786,0.145287
GemmTunableOp_Half_TN,tn_8192_112_1024,Default,0.0186278
GemmTunableOp_Half_TN,tn_8192_32768_3584,Gemm_Rocblas_621282358,3.09937
GemmTunableOp_Half_TN,tn_8192_96_1024,Gemm_Rocblas_621282195,0.0180686
GemmTunableOp_Half_TN,tn_7168_1024_8192,Gemm_Rocblas_621282353,0.218452
GemmTunableOp_Half_TN,tn_8192_232_1024,Gemm_Rocblas_621282206,0.0220353
GemmTunableOp_Half_TN,tn_8192_64_1024,Default,0.0168884
GemmTunableOp_Half_TN,tn_8192_136_1024,Gemm_Rocblas_621282237,0.0212762
GemmTunableOp_Half_TN,tn_8192_160_1024,Gemm_Rocblas_621282237,0.0213154
GemmTunableOp_Half_TN,tn_7168_256_8192,Gemm_Rocblas_621282236,0.0843741
GemmTunableOp_Half_TN,tn_7168_200_8192,Gemm_Rocblas_621282236,0.0820455
GemmTunableOp_Half_TN,tn_16032_88_8192,Gemm_Hipblaslt_TN_90193,0.0949862
GemmTunableOp_Half_TN,tn_8192_216_3584,Gemm_Rocblas_621282235,0.0497794
GemmTunableOp_Half_TN,tn_7168_64_8192,Gemm_Rocblas_621282227,0.0485678
GemmTunableOp_Half_TN,tn_16032_224_8192,Gemm_Rocblas_621282246,0.148067
GemmTunableOp_Half_TN,tn_16032_4096_8192,Gemm_Hipblaslt_TN_91145,1.78755
GemmTunableOp_Half_TN,tn_7168_104_8192,Gemm_Hipblaslt_TN_90529,0.0609476
GemmTunableOp_Half_TN,tn_8192_176_3584,Gemm_Rocblas_621282262,0.0456148
GemmTunableOp_Half_TN,tn_7168_32768_8192,Gemm_Hipblaslt_TN_90956,5.89767
GemmTunableOp_Half_TN,tn_8192_256_3584,Gemm_Rocblas_621282262,0.0501371
GemmTunableOp_Half_TN,tn_16032_32_8192,Gemm_Rocblas_621282054,0.0668995
GemmTunableOp_Half_TN,tn_16032_160_8192,Gemm_Hipblaslt_TN_90730,0.132476
GemmTunableOp_Half_TN,tn_8192_8192_3584,Gemm_Hipblaslt_TN_90417,0.733261
GemmTunableOp_Half_TN,tn_7168_152_8192,Gemm_Hipblaslt_TN_90720,0.0709431
GemmTunableOp_Half_TN,tn_1280_104_8192,Gemm_Rocblas_621282190,0.0270576
GemmTunableOp_Half_TN,tn_1280_72_8192,Gemm_Hipblaslt_TN_90614,0.0258274
GemmTunableOp_Half_TN,tn_16032_48_8192,Gemm_Rocblas_621282259,0.0705731
GemmTunableOp_Half_TN,tn_16032_64_8192,Gemm_Rocblas_621282259,0.0756652
GemmTunableOp_Half_TN,tn_16032_16384_8192,Gemm_Hipblaslt_TN_91108,5.70168
GemmTunableOp_Half_TN,tn_16032_128_8192,Gemm_Rocblas_621282234,0.0941524
GemmTunableOp_Half_TN,tn_16032_184_8192,Gemm_Hipblaslt_TN_90784,0.140938
GemmTunableOp_Half_TN,tn_1280_168_8192,Gemm_Hipblaslt_TN_90666,0.0329992
GemmTunableOp_Half_TN,tn_16032_232_8192,Gemm_Hipblaslt_TN_90802,0.159287
GemmTunableOp_Half_TN,tn_1280_256_8192,Gemm_Rocblas_621282192,0.0368712
GemmTunableOp_Half_TN,tn_7168_72_8192,Gemm_Hipblaslt_TN_90694,0.0543282
GemmTunableOp_Half_TN,tn_7168_112_8192,Gemm_Hipblaslt_TN_90529,0.0613691
GemmTunableOp_Half_TN,tn_7168_16384_8192,Gemm_Rocblas_621282377,2.55031
GemmTunableOp_Half_TN,tn_1280_136_8192,Gemm_Rocblas_621282190,0.0303015
GemmTunableOp_Half_TN,tn_7168_160_8192,Gemm_Hipblaslt_TN_89324,0.0721931
GemmTunableOp_Half_TN,tn_1280_16384_8192,Gemm_Hipblaslt_TN_91150,0.511039
GemmTunableOp_Half_TN,tn_1280_208_8192,Gemm_Rocblas_621282194,0.0351949
GemmTunableOp_Half_TN,tn_7168_208_8192,Gemm_Hipblaslt_TN_90743,0.0765461
GemmTunableOp_Half_TN,tn_7168_248_8192,Gemm_Rocblas_621282235,0.0720081
GemmTunableOp_Half_TN,tn_1280_48_8192,Gemm_Hipblaslt_TN_90632,0.0207388
GemmTunableOp_Half_TN,tn_1280_2048_8192,Gemm_Hipblaslt_TN_90244,0.107743
GemmTunableOp_Half_TN,tn_1280_224_8192,Gemm_Hipblaslt_TN_90658,0.0355683
GemmTunableOp_Half_TN,tn_8192_16384_1024,Gemm_Hipblaslt_TN_91039,0.482366
GemmTunableOp_Half_TN,tn_8192_512_1024,Gemm_Rocblas_621282248,0.0295764
GemmTunableOp_Half_TN,tn_7168_232_8192,Gemm_Rocblas_621282262,0.079916
GemmTunableOp_Half_TN,tn_7168_184_8192,Gemm_Rocblas_621282237,0.0731472
GemmTunableOp_Half_TN,tn_7168_88_8192,Gemm_Hipblaslt_TN_90722,0.0576915
GemmTunableOp_Half_TN,tn_16032_40_8192,Gemm_Rocblas_621282226,0.0697356
GemmTunableOp_Half_TN,tn_16032_80_8192,Gemm_Hipblaslt_TN_90694,0.092258
GemmTunableOp_Half_TN,tn_8192_200_1024,Gemm_Hipblaslt_TN_25796,0.0260457
GemmTunableOp_Half_TN,tn_7168_48_8192,Gemm_Hipblaslt_TN_89288,0.045434
